Numéro de la tâche,Date de création de la tâche,Nom de la personne initiatrice de la tâche,Site de réalisation de la tâche,Nature de la tâche,Description de la tâche,Date de début de la tâche,Durée estimée en heure(s) ou journée(s),Nombre de personnes souhaitées,Service N°1 mandaté pour la réalisation de la tâche,Service N°2 mandaté pour la réalisation de la tâche,Service N°3 mandaté pour la réalisation de la tâche
,,,,,,,,,,,
,,,,,,,,,,,
T_P1871,46093,Barry Amadou,MRS,Entretien général,"Buanderie : Soucis avec les machines à laver, notamment au niveau des programmes 2 et 8 (essorage, nettoyage, bruit par moments)",46093,,,Ouvriers_CPAS,,
T_P1870,46093,Barry Amadou,MRS,Entretien général,Chambre 30 : Store bloqué,46093,,,Ouvriers_CPAS,,
T_P1899,46120,Barry Amadou,MRS,Entretien général,"Merci d'envoyer le matériel d'entretien au CPAS demain matin.
Vous trouverez le bac à côté du séchoir, comme d'habitude.",46120,,,Ouvriers_CPAS,,
T_P1900,46128,Barry Amadou,MRS,Plomberie,Cantou LILAS : Fuite d'eau en dessous de l'évier de la cuisine (Urgent).,46128,,,Ouvriers_CPAS,,
T_P1902,46133,Barry Amadou,MRS,Entretien général,"Merci d'envoyer le matériel d'entretien au CPAS demain matin.
Vous trouverez le bac + une petite échelle à côté du séchoir, comme d'habitude.",46133,,,Ouvriers_CPAS,,
T_P1888,46107,Cuistots,MRS,Cuisine,"Four côté flexcool fuite d'eau quotidienne , merci de faire le néccesaire pour réparation. ",46107,1,1,Ouvriers_CPAS,,
T_P1804,46030,Hicham El Hariri,MRS,Entretien général,La Renault Kangoo : il y a un clou dans le pneu arrière droit.,46030,,1,Ouvriers_CPAS,,
T_P1853,46076,Hicham El Hariri,MRS,Cuisine,"Bonjour : pour une friteuse à gaz de marque SILKO, la petite flamme (veilleuse) de ta friteuse reste allumée mais que le brûleur principal ne s’allume pas quand on tournes la commande !! Est ce que c'est possible de nous envoyer un technicien car ce problème impacte vraiment la producion. Merci",46076,,,Luxpro,,
T_P1883,46100,Hicham El Hariri,MRS,Electricité,Faire la pelouse (terrases),46100,,,Ouvriers_CPAS,,
T_P1881,46100,Hicham El Hariri,MRS,Electricité,Verifier le bon fonctionnement des lecteurs badges,46100,,,Ouvriers_CPAS,,
T_P1880,46100,Hicham El Hariri,MRS,Electricité,"CH 36 : Stores bloqués, merci d'aller verifier",46100,,,Ouvriers_CPAS,,
T_P1879,46100,Hicham El Hariri,MRS,Electricité,CH 30 : Stores blqués ,46100,,,Ouvriers_CPAS,,
T_P1892,46108,Hicham El Hariri,MRS,Menuiserie,"Placer la charnière sur la porte du local ventillation au -1, merci",46108,,,Ouvriers_CPAS,,
T_P1905,46134,Hicham El Hariri,MRS,Plomberie,WC cantou boucher !!,46134,,,Ouvriers_CPAS,,
T_P1904,46134,Hicham El Hariri,MRS,Electricité,"Alex cuisine : la sous videuse ne s'allume plus, verifier l'état des fusibles",46134,,,Ouvriers_CPAS,,
T_P1903,46134,Hicham El Hariri,MRS,Entretien général,"Aller chercher les jeux le 23 avril entre 8h et 9h avec l'argent (19,50 + 50 de caution), ils signeront le contrat et ramèneront les jeux le lendemain aux mêmes heures. Voici l'adresse : Bibliothèque de Jemappes
Ludothèque ""L'île aux jeux"" Rue Général Leman, 42 - 7012 Jemappes",46134,,1,Ouvriers_CPAS,,
T_P1909,46135,Hicham El Hariri,MRS,Electricité,Ch 204 : un problème au plafonnier,46135,,,Ouvriers_CPAS,,
T_P1908,46135,Hicham El Hariri,MRS,Electricité,CH 31 : lampe HS,46135,,,Ouvriers_CPAS,,
T_P1907,46135,Hicham El Hariri,MRS,Electricité,"Tirer une alientation pour la nouvelle sauteuse, passer le cable par le vide ventillé en ouvrant les deux trappes de cuisine, merci",46135,,,Ouvriers_CPAS,,
T_P1906,46135,Hicham El Hariri,MRS,Electricité,"Identifier :
•	les prises réseau du bureau d’Alexandre
•	ainsi que les ports des switches sur lesquels elles sont connectées",46135,,,Ouvriers_CPAS,,
T_P1912,46136,Hicham El Hariri,MRS,Jardin / extérieur,"Louise Animation : Remonter un banc au cantou des Lilas, Remonter le terreau, Nous apporter de la colle à bois pour le panneau et Et si vous avez qlq caisse de côté pour nous, merci",46136,,2,Ouvriers_CPAS,,
T_P1911,46136,Hicham El Hariri,MRS,Plomberie,Passer le karcher dans la conduite principale existante dans le -1. merci,46136,,,Ouvriers_CPAS,,
T_P1910,46136,Hicham El Hariri,MRS,Plomberie,Changer le joint du flexible du circuit principale de la cogène.,46136,,1,Ouvriers_CPAS,,
T_P1913,46139,Hicham El Hariri,MRS,Parc voitures,gonflé ,46139,,,Ouvriers_CPAS,,
T_P1506,45659,Jan Callemeyn,MRS,Electricité,"Zone cuisine sale; Lave vaisselle Tunnel; Déffectuosité d'une résistance chauffante, celle-ci a été déconnectée. Merci pour votre intervention rapide.",45659,,1,Luxpro,,
T_P1830,46048,Jan Callemeyn,MRS,Entretien général,Installation de cogénération: Merci de prévoir la maintenance classique des 1250 h (suivant contrat). En effet il reste 200h de fonctionnement. Merci de nous prévenir de la date de votre intervention.,46048,,1,Cogengreen,,
T_P1784,46007,Barry Amadou,MRS,Entretien général,"Vous trouverez le bac à côté du séchoir, comme d'habitude.",46007,,,Ouvriers_CPAS,,
T_P1901,46132,Barry Amadou,MRS,Entretien général,Vestiaire Dames : Casier n°1 défectueux.   ,46132,,,Ouvriers_CPAS,,
T_P1705,45959,Cuistots,MRS,Cuisine,"réparer 2 mixeur plongeant défectueux + le bain marie précédement demandé , merci",45959,1,1,Ouvriers_CPAS,,
T_P1848,46065,Cuistots,MRS,Cuisine,"Ce jeudi 19/02/26, le buffet petit déjeuner des Euca aura lieu à  8h00. Pourriez-vous prévoir pour ce jour là au matin 3 tables pour dresser le buffet ainsi qu'une prise ralonge pour brancher le bain-marie. Merci d'avance pour votre collaboration, Alex ",46065,1,1,Ouvriers_CPAS,,
T_P1777,46002,Hicham El Hariri,MRS,Plomberie,Lave-pannes du RDC – Fuite non résolue : bac fissuré,46002,,,Thersa,,
T_P1884,46100,Hicham El Hariri,MRS,Menuiserie,"Pergolas : Preparer les poutres les décopes, entretien du bois ",46100,,,Ouvriers_CPAS,,
T_P1585,45860,Jan Callemeyn,MRS,Electricité,"Portail automatisé à l'entrée principale du site: Vérifier le bon fonctionnement des vérins hydrauliques, de la photocellule, de la boucle magnétique intégrée dans le sol. L'objectif est de remplacer le boitier électronique de commande et d'éventuels autres pièces d'après votre vérification. Merci,",45860,,2,Ouvriers_CPAS,,
T_P1649,45922,Jan Callemeyn,MRS,Entretien général,"Niv -1; local technique pompes: groupe hydrophore Wilo: le groupe tourne non stop, alors que la pression de service est atteinte. Après quelques tests de base, je soupçonne un problème au niveau du capteur de pression (ce problème est déjà apparu il y a quelques années). Le groupe est mis en mode OFF et le Bypass de l'eau de ville est ouvert. Merci pour votre intervention rapide.",45922,,1,Thersa,,
T_P1736,45982,Jan Callemeyn,MRS,Entretien général,"Niv -1: chaufferie: installation de cogénération: Perte de pression d'eau dans le circuit de refroidissement, liée à un passage d'eau dans le capteur dont la photo est jointe. La fuite ne concerne pas un manque d'étanchéité des raccords de montage. Ce capteur devrait être remplacé selon moi. Merci pour votre intervention rapide.",45982,,1,Cogengreen,,
T_P1807,46031,Jan Callemeyn,MRS,Entretien général,"Niv +3: GE5: moteur du régistre bloqué en position ouverte,",46031,,1,Thersa,,
T_P1831,46048,Jan Callemeyn,MRS,Electricité,"Niv +3; HVAC G2 extérieur: Merci de faire fonctionner le refroidisseur du GE2 via le petit ventilateur prévu à cet effet,",46048,,1,Ouvriers_CPAS,,
T_P1828,46048,Jan Callemeyn,MRS,Plomberie,Niv -1; local chaufferie avec les ballons: Ballon blanc de gauche: petite fuite d'eau constatée sur la partie supérieure arriière du ballon. Merci,46048,,1,Ouvriers_CPAS,,
T_P1829,46048,Jan Callemeyn,MRS,Entretien général,"Niv -1; Buanderie MAL: Enlever un panneau avant d'une des 3 machines à laver afin d'apprécier la faisabilité quant au remplacement des ressorts de support de cuve, en interne. Merci de faire un retour à Hicham ou à moi.",46048,,1,Ouvriers_CPAS,,
T_P1557,45849,Barry Amadou,MRS,Menuiserie,Il manque 2 barres ainsi 2 pommeaux de douche dans les vestiaires hommes ,45849,,,Ouvriers_CPAS,,
T_P1558,45849,Barry Amadou,MRS,Electricité,Panne TV chambre 214. Merci,45849,,,Ouvriers_CPAS,,
T_P1564,45853,Barry Amadou,MRS,Plomberie,"Il manque une plaque de déclenchement WC dans les toilettes des femmes, situées à côté réfectoire.",45853,,,Ouvriers_CPAS,,
T_P1565,45853,Barry Amadou,MRS,Plomberie,"Il manque une plaque de déclenchement WC dans les toilettes des femmes, situées à côté du réfectoire.",45853,,,Ouvriers_CPAS,,
T_P1566,45853,Barry Amadou,MRS,Entretien général,"La porte des Acacias, menant vers les Olivers, grince fort au sol. Elle ne se referme pas systématiquement.",45853,,1,Ouvriers_CPAS,,
T_P1578,45854,Barry Amadou,MRS,Menuiserie,Chambre 031 : La porte grince fort au sol et la tenture est à refixer avec les glisseurs et les crochets manquants.,45854,,,Ouvriers_CPAS,,
T_P1580,45855,Barry Amadou,MRS,Entretien général,Problème rencontré avec la cafetière située au Lilas.,45855,,,Ouvriers_CPAS,,
T_P1584,45856,Barry Amadou,MRS,Entretien général,Chambre 235 : La porte grince fort au sol. Une entrée est prévue le mardi 22-07-2025 dans la matinée.,45856,,1,Ouvriers_CPAS,,
T_P1583,45856,Barry Amadou,MRS,Plomberie,Chambre 235 : Planche WC à refixer. Une entrée est prévue le mardi 22-07-2025 dans la matinée.,45856,,,Ouvriers_CPAS,,
T_P1587,45860,Barry Amadou,MRS,Plomberie,"Même souci et risque de chute : La porte des Acacias, menant vers les Olivers, grince fort au sol. Elle ne se referme pas systématiquement.",45860,,,Ouvriers_CPAS,,
T_P1586,45860,Barry Amadou,MRS,Entretien général,Les tentures de la petite salle TV des Oliviers sont à refixer avec les glisseurs et les crochets.,45860,,,Ouvriers_CPAS,,
T_P1589,45861,Barry Amadou,MRS,Electricité,Chambre 235 : Il n’existe pas de câble d’interrupteur situé au-dessus du lit.,45861,,,Ouvriers_CPAS,,
T_P1590,45861,Barry Amadou,MRS,Menuiserie,Chambre 234 : Rallonge de lit à retirer + porte qui grince au sol. Une entrée est prévue demain matin.,45861,,,Ouvriers_CPAS,,
T_P1592,45863,Barry Amadou,MRS,Entretien général,Local infirmiers 1er étage : Distributeur d'essuie-mains à changer.,45863,,,Ouvriers_CPAS,,
T_P1593,45863,Barry Amadou,MRS,Entretien général,Salle TV Lilas : On me signale que la TV ne fonctionne pas.,45863,,,Ouvriers_CPAS,,
T_P1623,45882,Barry Amadou,MRS,Electricité,Diffuseur de parfum : Merci d'installer le grand diffuseur de parfum au RDC (Voir avec Hicham),45882,,,Ouvriers_CPAS,,
T_P1622,45882,Barry Amadou,MRS,Menuiserie,Climatisation Buanderie : Est-il possible de placer un support pour le climatiseur mobile ? Merci,45882,,,Ouvriers_CPAS,,
T_P1626,45883,Barry Amadou,MRS,Menuiserie,Chambre 119 : Souci avec la porte coulissante de la salle de bains. Elle reste bloquée.,45883,,,Ouvriers_CPAS,,
T_P1629,45889,Barry Amadou,MRS,Menuiserie,Vérins de tables : Merci de fixer les vérins manquants sur les différentes tables noires. Faudra commencer par le 1er étage (salle à manger et salle de cinéma). J'ai remis 40 vérins à Hicham,45889,,,Ouvriers_CPAS,,
T_P1628,45889,Barry Amadou,MRS,Entretien général,Cuisine RDC : Distributeur de papier essuie-mains à remplacer,45889,,,Ouvriers_CPAS,,
T_P1634,45891,Barry Amadou,MRS,Plomberie,Chambre 39 : Plaque de déclenchement WC détachée.,45891,,,Ouvriers_CPAS,,
T_P1635,45891,Barry Amadou,MRS,Plomberie,Erreur sur tâche T_P1634 : C'est la chambre 136 et non la chambre 39. Merci,45891,,,Ouvriers_CPAS,,
T_P1638,45891,Barry Amadou,MRS,Entretien général,Buanderie : Fuite d'eau au niveau des machines à laver. ,45891,,,Ouvriers_CPAS,,
T_P1639,45895,Barry Amadou,MRS,Entretien général,Transfert casiers de vestiaires : Un des casiers 3 battants se trouvant dans le vestiaire des femmes de la cuisine est à transférer dans le vestiaire des femmes du service soignant et TDS.,45895,,,Ouvriers_CPAS,,
T_P1642,45898,Barry Amadou,MRS,Entretien général,Plinthe détachée dans le couloir principal du Magnolias à côté de la cage d'escalier.,45898,,,Ouvriers_CPAS,,
T_P1641,45898,Barry Amadou,MRS,Entretien général,"Chambre 233 : Planche WC à remplacer + poignée de porte de la garde-robe à revisser.  
Entrée prévue ce lundi 01-09-25.",45898,,,Ouvriers_CPAS,,
T_P1643,45902,Barry Amadou,MRS,Entretien général,Soucis Autolaveuses : J'ai besoin d'un agent pour voir s'il y a moyen de trouver une solution dans un premier temps.,45902,,,Ouvriers_CPAS,,
T_P1644,45903,Barry Amadou,MRS,Entretien général,Merci de vérifier l'état des poubelles bleues situées dans les vide-panes.,45903,,,Ouvriers_CPAS,,
T_P1645,45904,Barry Amadou,MRS,Entretien général,Une tentrure est à refixer au cantou du Lilas (voir Buanderie et David est au courant). Merci,45904,,,Ouvriers_CPAS,,
T_P1646,45915,Barry Amadou,MRS,Entretien général,Chambre 026 : 2 petites décorations à retirer sur le miroir + tribune à reprendre.,45915,,,Ouvriers_CPAS,,
T_P1647,45915,Barry Amadou,MRS,Entretien général,Cantou Lilas : Merci de refixer la tenture au niveau de la salle à manger (voir Christelle pour les glisseurs).,45915,,,Ouvriers_CPAS,,
T_P1648,45918,Barry Amadou,MRS,Entretien général,Pause DG : Il faudra rajouter des tables et des chaises au RDC pour les directeurs généraux avant midi. Prévoir environ 45 personnes. Merci.,45918,,,Ouvriers_CPAS,,
T_P1651,45922,Barry Amadou,MRS,Plomberie,Planches WC : À revisser dans les chambres 201 et 213. À changer dans la chambre 203.,45922,,,Ouvriers_CPAS,,
T_P1650,45922,Barry Amadou,MRS,Entretien général,Tentures : Merci de remonter les tentures des chambres 024 à 028 au Lilas. Voir Buanderie,45922,,,Ouvriers_CPAS,,
T_P1656,45924,Barry Amadou,MRS,Entretien général,Buanderie : Fuite d'eau au niveau des machines à laver 1 et 2 (programme 6).,45924,,,Ouvriers_CPAS,,
T_P1655,45924,Barry Amadou,MRS,Menuiserie,Chambre 31 : Fenêtre bloquée. Elle ne se ferme pas.,45924,,,Ouvriers_CPAS,,
T_P1667,45929,Barry Amadou,MRS,Plomberie,Évier bouché dans la salle de bain au RDC Magniolias,45929,,,Ouvriers_CPAS,,
T_P1671,45930,Barry Amadou,MRS,Entretien général,Tentures : Merci de remonter les tentures des chambres 29 à 33 au Lilas. Voir Buanderie,45930,,,Ouvriers_CPAS,,
T_P1672,45930,Barry Amadou,MRS,Electricité,Nettoyage Porte de secours RDC : Merci de débloquer la porte de secours de la petite aile au Magniolias.,45930,,,Ouvriers_CPAS,,
T_P1679,45931,Barry Amadou,MRS,Entretien général,Nettoyage Porte de secours Lilas : Merci de débloquer la porte de secours.,45931,,,Ouvriers_CPAS,,
T_P1681,45932,Barry Amadou,MRS,Plomberie,Chambre 235 : Planche WC à refixser. Une entrée est prévue ce jour vers 14h00.,45932,,,Ouvriers_CPAS,,
T_P1685,45946,Barry Amadou,MRS,Entretien général,"Chambre 114 : Reprendre le frigo et la table d'appoint car la famille viendra avec son frigo et ses meubles et refixer la tenture. 
Entrée prévu ce jour.",45946,,,Ouvriers_CPAS,,
T_P1686,45946,Barry Amadou,MRS,Menuiserie,Chambre 135 : La porte grince fort au sol,45946,,,Ouvriers_CPAS,,
T_P1687,45946,Barry Amadou,MRS,Menuiserie,Réfectoire direction : Souci avec la porte du côté des toilettes (elle reste bloquée de l'extérieur),45946,,,Ouvriers_CPAS,,
T_P1694,45952,Barry Amadou,MRS,Entretien général,Chambre 108 : Matelas à remonter dans la chambre,45952,,,Ouvriers_CPAS,,
T_P1695,45953,Barry Amadou,MRS,Entretien général,Terrasse RDC : Le cendrier rouillé est à jeter et revoir un peu l'état de propreté de la terrasse.,45953,,,Ouvriers_CPAS,,
T_P1696,45953,Barry Amadou,MRS,Entretien général,Buanderie : Fer à repasser défectueux (témoin allumé) + fuite d'eau sur un des vaporisateurs.,45953,,,Ouvriers_CPAS,,
T_P1698,45954,Barry Amadou,MRS,Entretien général,Plinthe décollée dans le couloir principal des Magnolias.,45954,,,Ouvriers_CPAS,,
T_P1700,45954,Barry Amadou,MRS,Entretien général,"Merci de descendre les chaises, tribunes et frigos se trouvant dans les vide-panes et dans les couloirs principaux (voir avec les soignants pour éviter de prendre les affaires qu'ils utilisent).",45954,,,Ouvriers_CPAS,,
T_P1699,45954,Barry Amadou,MRS,Entretien général,Porte local infirmiers au 1er : La porte du 2e local (médecin) ne se ferme pas correctement.,45954,,,Ouvriers_CPAS,,
T_P1702,45957,Barry Amadou,MRS,Menuiserie,Salle de cinéma : Une des tables manque de vérins.,45957,,,Ouvriers_CPAS,,
T_P1701,45957,Barry Amadou,MRS,Entretien général,"Tentures : Merci de refixer les tentures du 1er étage (salon TV), ainsi que celles du cantou Lilas (salle à manger). Voir les agents de la buanderie pour les tentures du Lilas.",45957,,,Ouvriers_CPAS,,
T_P1704,45959,Barry Amadou,MRS,Entretien général,"Suite examen Infirmier en chef : Merci de préparer la salle de cinéma ce vendredi 31-10-25 en fin de journée pour l'examen, (comme la dernière fois : 4 rangées de 3 tables + 1 table pour l'accueillant).",45959,,,Ouvriers_CPAS,,
T_P1706,45960,Barry Amadou,MRS,Entretien général,"RDC : La porte du local des infirmiers des Lilas, située en face du fumoir, est défectueuse et reste bloquée.",45960,,,Ouvriers_CPAS,,
T_P1707,45960,Barry Amadou,MRS,Menuiserie,Chambre 240 : fenêtre défectueuse.,45960,,,Ouvriers_CPAS,,
T_P1713,45965,Barry Amadou,MRS,Menuiserie,Chambre 001 : Fenêtre défectueuse. Elle ne se ferme plus.,45965,,,Ouvriers_CPAS,,
T_P1721,45966,Barry Amadou,MRS,Plomberie,Chambre 208 et 220 : Planches WC à revisser.,45966,,,Ouvriers_CPAS,,
T_P1722,45966,Barry Amadou,MRS,Entretien général,"La grande porte des Lilas, située en face du local des infirmiers est défectueuse.",45966,,,Ouvriers_CPAS,,
T_P1720,45966,Barry Amadou,MRS,Plomberie,Chambre 209 : Robinet défectueux,45966,,,Ouvriers_CPAS,,
T_P1732,45980,Barry Amadou,MRS,Entretien général,Le percolateur du bar dysfonctionne.,45980,,,Ouvriers_CPAS,,
T_P1733,45980,Barry Amadou,MRS,Entretien général,Chambre 217 : Il n'y a plus de barre d'appui WC.,45980,,,Ouvriers_CPAS,,
T_P1734,45981,Barry Amadou,MRS,Entretien général,Chambre 209 : Toilette bouchée,45981,,,Ouvriers_CPAS,,
T_P1735,45981,Barry Amadou,MRS,Entretien général,Vestiaire dames : Mauvaises odeurs d'égout.,45981,,,Ouvriers_CPAS,,
T_P1744,45989,Barry Amadou,MRS,Plomberie,Chambre 128 : Fuite d'eau en dessous du lavabo,45989,,,Ouvriers_CPAS,,
T_P1743,45989,Barry Amadou,MRS,Entretien général,Vestiaire Dames : Casier 68 défectueux,45989,,,Ouvriers_CPAS,,
T_P1766,46001,Barry Amadou,MRS,Entretien général,Plinthe détachée derrière la porte des acacias (côté escaliers direction),46001,,,Ouvriers_CPAS,,
T_P1765,46001,Barry Amadou,MRS,Entretien général,Tentures Lilas : Merci de remonter les tentures des chambres du cantou Lilas (voir les agents de la buanderie).,46001,,,Ouvriers_CPAS,,
T_P1767,46001,Barry Amadou,MRS,Entretien général,Réunion Roseraie ce jour à 15h00 au 1er étage  : Merci de mettre les chaises en mode cinéma pour 40 personnes.,46001,,,Ouvriers_CPAS,,
T_P1785,46007,Barry Amadou,MRS,Entretien général,Acacias : Le cantou est envahi par des mouches depuis la semaine dernière. Merci de revoir l'état de la terrasse.,46007,,,Ouvriers_CPAS,,
T_P1792,46014,Barry Amadou,MRS,Plomberie,Chambre 36 : Sterput bouché,46014,,,Ouvriers_CPAS,,
T_P1809,46034,Barry Amadou,MRS,Plomberie,Chambre 36 : WC bouché,46034,,,Ouvriers_CPAS,,
T_P1811,46036,Barry Amadou,MRS,Entretien général,Terrasse de l'entrée principale : Merci de revoir l'état de la terrasse de l'entrée principale (tâches noires à différents endroits).,46036,,,Ouvriers_CPAS,,
T_P1810,46036,Barry Amadou,MRS,Entretien général,RDC Magnolias : Merci de reprendre les chaises et fauteuils situés dans les différents couloirs. Voir aussi dans le local infirmiers.,46036,,,Ouvriers_CPAS,,
T_P1813,46037,Barry Amadou,MRS,Entretien général,Couloir Magnolias : Tribunes et tablettes à descendre.,46037,,,Ouvriers_CPAS,,
T_P1812,46037,Barry Amadou,MRS,Plomberie,Chambre 133 : Siphon lavabo défectueux,46037,,,Ouvriers_CPAS,,
T_P1814,46038,Barry Amadou,MRS,Entretien général,"Terrasses Cantous : Merci de revoir l'état des terrasses du Lilas et des Acacias (mégots de cigarettes, crottes de chiens, etc.)",46038,,,Ouvriers_CPAS,,
T_P1821,46041,Barry Amadou,MRS,Entretien général,Tentures chambres RDC : Merci de remonter les tentures des chambres au RDC (voir avec sabine à la buanderie),46041,,,Ouvriers_CPAS,,
T_P1815,46041,Barry Amadou,MRS,Entretien général,Urgent : Merci de revoir les tentures mal fixées dans toutes les chambres.,46041,,,Ouvriers_CPAS,,
T_P1824,46044,Barry Amadou,MRS,Entretien général,Tentures RDC : Merci de remonter les tentures des chambres au Magnolias (voir avec les agents de la buanderie).,46044,,,Ouvriers_CPAS,,
T_P1825,46044,Barry Amadou,MRS,Plomberie,Chambre 20 : Planche WC à refixer (urgent).,46044,,,Ouvriers_CPAS,,
T_P1826,46045,Barry Amadou,MRS,Entretien général,Salon de coiffure : La porte est difficile à ouvrir. Elle  gince au sol,46045,,,Ouvriers_CPAS,,
T_P1833,46049,Barry Amadou,MRS,Plomberie,Chambre 20 : Planche WC défectueuse,46049,,,Ouvriers_CPAS,,
T_P1834,46050,Barry Amadou,MRS,Entretien général,Chambre 33 : Pas de cale-porte et mur abîmé (entrée prévue demain),46050,,,Ouvriers_CPAS,,
T_P1835,46050,Barry Amadou,MRS,Entretien général,CPAS : Les 2 urinoirs sont bouchés. URGENT !!! Merci.,46050,,,Ouvriers_CPAS,,
T_P1840,46058,Barry Amadou,MRS,Entretien général,Tentures RDC : Merci de remonter les tentures des chambres au Magnolias (voir avec les agents de la buanderie).,46058,,,Ouvriers_CPAS,,
T_P1841,46059,Barry Amadou,MRS,Plomberie,Chambre 115 : Planche WC défectueuse,46059,,,Ouvriers_CPAS,,
T_P1845,46062,Barry Amadou,MRS,Entretien général,Chambre 238 : Porte coulissante défectueuse (cale porte),46062,,,Ouvriers_CPAS,,
T_P1846,46063,Barry Amadou,MRS,Entretien général,Merci de remonter les tentures des chambres au RDC (voir avec les agents de la buanderie).,46063,,,Ouvriers_CPAS,,
T_P1847,46064,Barry Amadou,MRS,Electricité,Ampoule défectueuse dans les toilettes visiteurs (Dames) au 1er étage.,46064,,,Ouvriers_CPAS,,
T_P1852,46072,Barry Amadou,MRS,Entretien général,Chambre 015 : Plaque manquante au niveau du plafond. Urgent !! Merci.,46072,,,Ouvriers_CPAS,,
T_P1855,46077,Barry Amadou,MRS,Menuiserie,Ch 208 : Réparer la barrière de lit de mme Vreux côté fenêtre. Et prendre la rallonge de lit à la 222 pour la mettre à la 208 (Mr Legat) Merci ,46077,,,Ouvriers_CPAS,,
T_P1861,46080,Barry Amadou,MRS,Entretien général,La porte du local matériel du 2e est défectueuse (difficulté à ouvrir et à fermer).,46080,,,Ouvriers_CPAS,,
T_P1862,46080,Barry Amadou,MRS,Entretien général,Chambre 239 : La fenêtre ne s'ouvre pas. Elle reste bloquée.,46080,,,Ouvriers_CPAS,,
T_P1863,46080,Barry Amadou,MRS,Entretien général,La porte de la salle de bain au 2e étage (petite aile) est défectueuse (difficulté à ouvrir et à fermer).,46080,,,Ouvriers_CPAS,,
T_P1865,46085,Barry Amadou,MRS,Entretien général,Chambre 114 : Fentêtre bloquée. URGENT ! Merci,46085,,,Ouvriers_CPAS,,
T_P1866,46085,Barry Amadou,MRS,Plomberie,Chambre 035 : Planche WC à changer.,46085,,,Ouvriers_CPAS,,
T_P1867,46087,Barry Amadou,MRS,Plomberie,Chambre 024 à 028 : WC bouchés dans toutes les chambres. Urgent,46087,,,Ouvriers_CPAS,,
T_P1869,46093,Barry Amadou,MRS,Entretien général,Chambres 24 et 25 : Planches WC à changer (présence de tâches incrustées),46093,,,Ouvriers_CPAS,,
T_P1875,46097,Barry Amadou,MRS,Entretien général,Vide pane grande aile du RDC : fenêtre défectueuse (elle ne s'ouvre pas),46097,,,Ouvriers_CPAS,,
T_P1876,46099,Barry Amadou,MRS,Entretien général,Tentures : Merci de remonter les tentures dans les chambres des résidents dans l'après-midi (voir avec les agents de la buanderie).,46099,,,Ouvriers_CPAS,,
T_P1877,46099,Barry Amadou,MRS,Entretien général,Chambre 104 : Fenêtre bloquée (elle ne se ferme plus),46099,,,Ouvriers_CPAS,,
T_P1878,46099,Barry Amadou,MRS,Entretien général,"Merci d'envoyer le matériel d'entretien au CPAS demain matin.
Vous trouverez le bac à côté du séchoir, comme d'habitude.",46099,,,Ouvriers_CPAS,,
T_P1885,46101,Barry Amadou,MRS,Entretien général,"Merci d'aller chercher l'agent TDS du CPAS (cécile), tantôt après la pause de midi.",46101,,,Ouvriers_CPAS,,
T_P1886,46101,Barry Amadou,MRS,Entretien général,CPAS : Merci d'installer les distributeurs de savon mis à disposition ce lundi 23-03-2026 (remplacement des distributeurs GOJO).,46101,,,Ouvriers_CPAS,,
T_P1887,46101,Barry Amadou,MRS,Entretien général,CPAS : Merci d'installer les distributeurs de papier essuie-mains mis à disposition en cuisine (voir avec Alexandre).,46101,,,Ouvriers_CPAS,,
T_P1889,46107,Barry Amadou,MRS,Entretien général,Tentures : Merci de remonter les tentures dans les chambres (voir avec les agents de la buanderie),46107,,,Ouvriers_CPAS,,
T_P1890,46108,Barry Amadou,MRS,Entretien général,Merci d'aller chercher l'agent du CPAS vers 11h45,46108,,,Ouvriers_CPAS,,
T_P1891,46108,Barry Amadou,MRS,Entretien général,Chambre 221 : La chasse WC ne fonctionne pas correctement.,46108,,,Ouvriers_CPAS,,
T_P1895,46108,Barry Amadou,MRS,Entretien général,Chambre 207 : Porte de la salle de bain défectueuse.,46108,,,Ouvriers_CPAS,,
T_P1896,46111,Barry Amadou,MRS,Entretien général,CPAS : WC bouché (Urgent). ,46111,,,Ouvriers_CPAS,,
T_P1897,46113,Barry Amadou,MRS,Entretien général,"Merci d'envoyer le matériel d'entretien au CPAS demain matin.
Vous trouverez le bac à côté du séchoir, comme d'habitude.",46113,,,Ouvriers_CPAS,,
T_P1898,46114,Barry Amadou,MRS,Entretien général,CPAS : Merci d'aller chercher l'agent du CPAS demain vers 11h45.,46114,,,Ouvriers_CPAS,,
T_P087,43816,Cuistots,MRS,Buanderie - Cuisine,Porte chariot régénérant défectueuse,43816,2h,1,Magec,Ouvriers_CPAS,
T_P103,43836,Cuistots,MRS,Buanderie - Cuisine,remplacer la batterie de la camionnette repas domicile,43836,,1,Ouvriers_CPAS,,
T_P112,43837,Cuistots,MRS,Buanderie - Cuisine,"le frigo de la camionnette fonctionne alors que la camionnette est éteinte, il faut, quand le véhicule fonctionne éteindre le frigo via le panneau de commande",43837,,1,Ouvriers_CPAS,,
T_P111,43837,Cuistots,MRS,Buanderie - Cuisine,remettre la porte de l'armoire désinfectant couteaux,43837,,1,Ouvriers_CPAS,,
T_P206,43895,Cuistots,MRS,Electricité,chariot régénérent deffectueux,43895,1h,1,Ouvriers_CPAS,,
T_P207,43895,Cuistots,MRS,Entretien général,remplacer les plaques du plafond de le zone froide en cuisine,43895,3h,2,Ouvriers_CPAS,,
