Numéro de la tâche,Date de création de la tâche,Nom de la personne initiatrice de la tâche,Site de réalisation de la tâche,Nature de la tâche,Description de la tâche,Date de début de la tâche,Durée estimée en heure(s) ou journée(s),Nombre de personnes souhaitées,Service N°1 mandaté pour la réalisation de la tâche,Service N°2 mandaté pour la réalisation de la tâche,Service N°3 mandaté pour la réalisation de la tâche
T_P1244,45015,Jan Callemeyn,MRS,Electricité,"Eclairage grand pylone parking. Avant toute intervention, merci de vérifier (via facture ou bon de commande) si les 5 ampoules défectueuses sont encore dans le délai de la garantie. Merci pour le retour d'information, svp.",45015,,1,Ouvriers_CPAS,,
T_P1243,45015,Jan Callemeyn,MRS,Electricité,Eclairage extérieur. Remplacer les ampoules des petits pylones (rampe d'accès MRS) défectueuses. Vérifier la garantie de ces ampoules LED assez récemment installées.,45015,,2,Ouvriers_CPAS,,
T_P1248,45018,Jan Callemeyn,MRS,Entretien général,HVAC - Niveau +3 - G2 (extérieur): Le groupe de ventilation dégage un bruit anormal (pas un bruit de roulement selon moi à première vue). Merci de réaliser un contrôle mécanique de ce groupe. Un retour d'information est souhaité.,45018,,1,Thersa,,
T_P1255,45022,Jan Callemeyn,MRS,Electricité,"Niv - 1; local serveur; UPS en alarme, demande de maintenance. Merci pour votre intervention",45022,,1,Thersa,,
T_P1259,45030,Jan Callemeyn,MRS,Entretien général,Installation de cogénération. Il reste 12 journées de production au compteur. Merci de planifier une maintenance prochainement. Aucun problème particulier n'est observé à ce jour.,45030,,1,Cogengreen,,
T_P1263,45040,Jan Callemeyn,MRS,Electricité,"Actions éconnomie d'énergie: niveau -1; couloir d'accès à la chaufferie; remplacer les tubes TL existants par des tubes LED de 1,5 m et d'une teinte d'environ 4000 K. L'installation de deux détecteurs de présence dans cette grande zone est aussi envisagée. Un dans la zone d'accès au couloir et l'autre dans la zone retour des locaux de chaufferie. Nous pouvons encore réfléchir quant à la solution la plus simple pour installer ces deux détecteurs. Merci",45040,2j,2,Ouvriers_CPAS,,
T_P1264,45040,Jan Callemeyn,MRS,Electricité,"Réception prochaine envisagée relative aux 7 nouveaux tableaux électriques, suivant le marché récemment émis: afin de limiter les remarques, il serait utile de vérifier la bonne mise à la terre de l'ensemble des prises raccordés à ces tableaux. Merci",45040,2h,1,Ouvriers_CPAS,,
T_P1260,45040,Jan Callemeyn,MRS,Cuisine,"Niveau -1; cuisine; chambre de surgélation, problème de formation de glaçons réccurents: comme déjà étudié, il serait intéressant d'envisager la possibilité de remonter une des deux résistances de dégivrage intégrée dans le groupe d'évaporation installé au plafond du local. Bien sûr que ceci n'est qu'un test, mais s'il est intéressant, ca permetterait d'éviter une mission récurrente, désagréable pour les ouvriers.Merci",45040,1h,2,Ouvriers_CPAS,,
T_P1262,45040,Jan Callemeyn,MRS,Electricité,"Niveau 0 et 1: régler l'ensemble des détecteurs de présence récemment installés sur une durée d'environ 10 min, suivant le test réalisé il y a quelques semaines déjà. Merci",45040,2h,1,Ouvriers_CPAS,,
T_P1261,45040,Jan Callemeyn,MRS,Electricité,Niveau +2: locaux de stockage et vides pannes; Installation de détecteurs de présence et supression des dalles d'éclairage superflues. Terminer cette partie des installations serait intéressante avant d'entamer d'autres projets. Merci,45040,1j,2,Ouvriers_CPAS,,
T_P1266,45040,Jan Callemeyn,MRS,Electricité,"Le marché relatif au contrôle des 7 nouveaux tableaux électriques se cloture ce vendredi 28 avril. 5 sociétés ont été contactées, tous les retours sont transmis par mail à Michel ou ouvriers. Merci de cloturer ce marché au début du mois de mai. ",45047,,1,Ouvriers_CPAS,,
T_P1265,45040,Jan Callemeyn,MRS,Entretien général,Lance incendie: comme prévu il serait utile de prévoir un moment au début du mois de mai afin de démonter une de celle-ci pour l'analyser.  Merci,45048,2h,2,Ouvriers_CPAS,,
T_P1269,45049,Jan Callemeyn,MRS,Electricité,"Groupe électrogène de secours; problème de charge de la batterie prévue au départ (dédoublées par le service technique local). Il serait important selon moi d'envisager la finalisation du mode de charge d'appoint des deux batteries. Diverses pistes ont encore été émises ce jour, merci de prévoir cette mission dans votre planning prochainement. Il est évident que je suis souvent présent dans le cadre de ma mission de conseil, pour vous aider.  Cette tâche est urgente selon moi. Bien cordialement Jan",45049,,2,Ouvriers_CPAS,,
T_P1277,45051,Jan Callemeyn,MRS,Entretien général,U R G E N T :Niv -1: local chaufferie: problème de régénération continue de l'adoucisseur général de l'eau de toute la MRS. L'installation semble être en mode régénération permanente depuis 3 jours et l'eau n'est plus adoucie au sein de l'institution. Merci pour votre retour rapide.,45051,,1,Thersa,,
T_P1247,45016,Jan Callemeyn,MRS,Entretien général,Grand parking MRS - éclairage grand pylones. Il serait utile de planifier la nacelle de la commune au bon temps (à partir du mois de juin) afin d'enlever les ampoules défectueuses et de demander l'intervention de la garantie auprès  du fournisseur de celles-ci. Les documents relatifs à la commande ou la facturation de celles-ci seront nécessaires. Merci,45078,,2,Ouvriers_CPAS,,
T_P1290,45079,Jan Callemeyn,MRS,Plomberie,"Niv +2: local salle à manger, zone petite cuisine: faisant suite à la fuite d'eau récente, il serait utile de changer le robinet Shell (alimentant les deux percolateurs) par une vanne ""quart de tour"". Merci",45079,,2,Ouvriers_CPAS,,
T_P1291,45079,Jan Callemeyn,MRS,Entretien général,Niv -1: local chaufferie: merci de prévoir à votre meilleure convenance un système (style jante de voiture fixée au mur) permettant d'enrouler le tuyau d'eau flexible posé au sol.,45079,,1,Ouvriers_CPAS,,
T_P1312,45100,Jan Callemeyn,MRS,Electricité,"Niv -1: cuisine: zone flexcool: Dédoubler l'interrupteur de commande de l'aspiration (hotte) installé du coté Spilmon vers les deux fours récemment déplacés. L'idée est de pouvoir piloter la nouvelle hotte par un interrupteur similaire à celui installé près du gros lave vaisselle,",45100,1,1,Ouvriers_CPAS,,
T_P1313,45100,Jan Callemeyn,MRS,Entretien général,"Niv -1; Cuisine; Chambre de surgélation: Merci d'isoler les tuyauteries de gaz ainsi que la tuyauterie de décharge des condensats,",45100,1h,1,Ouvriers_CPAS,,
T_P1320,45113,Jan Callemeyn,MRS,Electricité,"Actions éconnomie d'énergie: niveau -1; couloir d'accès à la chaufferie; remplacer les tubes TL existants par des tubes LED de 1,5 m et d'une teinte d'environ 4000 K. L'installation de deux détecteurs de présence dans cette grande zone est aussi envisagée. Un dans la zone d'accès au couloir et l'autre dans la zone retour des locaux de chaufferie. Nous pouvons encore réfléchir quant à la solution la plus simple pour installer ces deux détecteurs. Merci",45113,2j,2,Ouvriers_CPAS,,
T_P1321,45114,Jan Callemeyn,MRS,Entretien général,"Niv + 3: Groupe extérieur G2: Problème de fonctionnement du Bypass. L'accouplement entre l'axe moteur et la mécanique du bypass est défectueux. Votre technicien Philippe était présent lors de la recherche de la panne, il peut dès vous informer de la pièce à commander sans trop tarder svp. Nous nous sommes assuré que le bypass fonctionne normalement en mode manuel en le faisant basculer au moyen d'un pince.",45114,2h,1,Thersa,,
T_P1338,45146,Jan Callemeyn,MRS,Entretien général,Niv -1: local ventilation: créer deux ouvertures dans la porte du fond afin d'améliorer la circulation de l'air. Les ouvertures peuvent être semblables à celle réalisé en chaufferie coté cogen. Merci,45146,1j,2,Ouvriers_CPAS,,
T_P1339,45166,Jan Callemeyn,MRS,Plomberie,Niv -1; Local pompes à eau; installation du filtre sur le circuit de l'eau des citernes. ,45173,,2,Ouvriers_CPAS,,
T_P1342,45180,Jan Callemeyn,MRS,Entretien général,"Niv 1: batterie froide couloir orienté ouest: fuite d'eau de condensation,",45180,,1,Thersa,,
T_P1341,45180,Jan Callemeyn,MRS,Entretien général,"Niv -1; cuisine; zone de cuisson: Remplacer une dalle dans le plafond contenant un bouche de pulsion d'air, face sud de la hotte principale,",45180,,2,Ouvriers_CPAS,,
T_P1346,45184,Jan Callemeyn,MRS,Electricité,"Niv -1; chaufferie - cogen: ajouter un point d'éclairage LED au niveau du coin circulateurs de chauffage, Merci",45184,,1,Ouvriers_CPAS,,
T_P1348,45187,Jan Callemeyn,MRS,Chauffage,Niv -1: local chaufferie ; zone ballons de stockage: La soupape de sécurité (surpression) du circuit secondaire de chauffe du ballon ECS fuit régulièrement. Un nettoyage ou son remplacement est à prévoir. Je precise aussi que la pression de l'eau de ville n'excède pas 5 bars en sortie du surpresseur.,45187,,1,Thersa,,
T_P1352,45195,Jan Callemeyn,MRS,Plomberie,Concevoir une bac récolteur d'eau de condensation batterie cuisine côté sale,45200,,2,Ouvriers_CPAS,,
T_P1351,45195,Jan Callemeyn,MRS,Plomberie,Installation du nouveau circuit d'eau glacée partant du niv0 vers la cuisine côté sale….,45200,,2,Ouvriers_CPAS,,
T_P1355,45202,Jan Callemeyn,MRS,Entretien général,Niv -1; zone cuisine chambre froide. Commander le matériel plastique nécessaire afin de planifier la réfection des pourtours des portes des chambres froides. ,45202,,1,Ouvriers_CPAS,,
