Numéro de la tâche;Date de création de la tâche;Nom de la personne initiatrice de la tâche;Site de réalisation de la tâche;Nature de la tâche;Description de la tâche;Prochaine date pour la tâche;Durée estimée en heure(s) ou journée(s);Nombre de personnes souhaitées;Service mandaté pour la réalisation de la tâche;Journée de la semaine pour réaliser la tâche;Tâche réalisée toutes les X semaines;Journée du mois pour émettre la tâche;Tâche émise tous les X mois
T_R054;44466;Jan Callemeyn;MRS;Sanitaire;Nettoyer les siphons des éviers des chambres du niveau 1 de la MRS - Vérifier le bon fonctionnement du mitigeur thermostatique de la douche de salle de bain (conseils auprès de Michel ou moi);46323;;1;Ouvriers_CPAS;;;15;12
T_R081;45195;Jan Callemeyn;MRS;Entretien général;Niv 0: Nettoyer le pourtour de l'ensemble des bouches de pulsions (chambres comprises);46327;1;1;Ouvriers_CPAS;;;1;12
T_R057;44466;Jan Callemeyn;MRS;Sanitaire;Nettoyer les siphons des éviers des chambres du niveau 0 de la MRS - Verifier le bon fonctionnement du mitigeur thermostatique de la salle de bain (conseils à demander auprès de Michel ou moi);46353;;1;Ouvriers_CPAS;;;15;12
T_R082;45195;Jan Callemeyn;MRS;Entretien général;Niv 1: Nettoyer le pourtour de l'ensemble des bouches de pulsions d'air (chambres comprises);46357;1J;1;Ouvriers_CPAS;;;1;12
T_R107;45581;Jan Callemeyn;MRS;Entretien général;Niv 0: local fumoir: purificateur d'air: descendre l'appareil à l'atelier et nettoyer les grilles externes ainsi que le capteur de mesure au compresseur, remplacer le filtre ! Si besoin recommander 2 filtres pour les maintenances suivantes;46361;;1;Ouvriers_CPAS;;;20;8
T_R055;44466;Jan Callemeyn;MRS;Sanitaire;Nettoyer les siphons des éviers des chambres du niveau 2 de la MRS - Vérifier le bon fonctionnement du mitigeur thermostatique de la douche des salles de bains (conseils auprès de Michel ou moi);46383;;1;Ouvriers_CPAS;;;15;12
T_R083;45195;Jan Callemeyn;MRS;Entretien général;Niv + 2: Nettoyer le pourtour de chaque bouche de pulsion d'air (chambres comprises);46388;1j;1;Ouvriers_CPAS;;;1;12
T_R058;44466;Jan Callemeyn;MRS;Entretien général;Local chaufferie coté ballon: nettoyer la vanne 3 voies située au dessus des deux ballons blancs;46414;;2;Ouvriers_CPAS;;;10;10
T_R096;45237;Jan Callemeyn;MRS;Entretien général;HVAC: Remplacer les filtres du groupe GE5/GP5;46419;;1;Thersa;;;1;12
T_R095;45237;Jan Callemeyn;MRS;Entretien général;HVAC: Remplacer les filtres du groupe GE4/GP4;46419;;1;Thersa;;;1;12
T_R094;45237;Jan Callemeyn;MRS;Entretien général;HVAC: Remplacer les filtres du groupe GE3/GP3;46419;;1;Thersa;;;1;12
T_R093;45237;Jan Callemeyn;MRS;Entretien général;HVAC: Remplacer les filtres du groupe GE2/GP2;46419;;1;Thersa;;;1;12
